,Accuracy,Chroma Accuracy,Chroma False Alarm Error,Chroma Miss Error,Chroma Precision,Chroma Recall,Chroma Substitution Error,Chroma Total Error,False Alarm Error,Miss Error,Precision,Recall,Substitution Error,Total Error
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.317447505547,0.392863531369,0.11466767345,0.382563161207,0.712072755605,0.491389927675,0.126046911118,0.623277745775,0.11466767345,0.382563161207,0.609060326819,0.418812749804,0.198624088989,0.695854923646
std,0.0644605453191,0.0656963333769,0.129632994151,0.1751843784,0.134304081604,0.124950550775,0.0624900818902,0.09310445698,0.129632994151,0.1751843784,0.140751584353,0.1150775932,0.086483489225,0.0997097774632
min,0.222871195819,0.299794775085,0.0,0.179311419224,0.518618121638,0.311599215958,0.0235789230947,0.480296102765,0.0,0.179311419224,0.43897393463,0.27331949729,0.0618586417618,0.563683866754
25%,0.264217426584,0.363409219484,0.0107148044212,0.200140677074,0.612076694197,0.410659318379,0.0840837184624,0.572521861654,0.0107148044212,0.200140677074,0.509016482023,0.350422867664,0.136535055451,0.608904002363
50%,0.315047145132,0.380056796681,0.069788437058,0.43299218409,0.67662271884,0.453401056177,0.137146093281,0.632950707993,0.069788437058,0.43299218409,0.575577753918,0.384936734252,0.230784481407,0.697434633894
75%,0.366185478471,0.439508351628,0.179750037788,0.499917523924,0.827380987149,0.600495923502,0.168296171028,0.695891896673,0.179750037788,0.499917523924,0.723776914013,0.500304789654,0.252423640905,0.746201381645
max,0.409627182633,0.5,0.341797787817,0.664821860948,0.895127312695,0.670821000156,0.209782364819,0.749831725376,0.341797787817,0.664821860948,0.829455944312,0.606169185231,0.300684931507,0.843771795229
