,Accuracy,Chroma Accuracy,Chroma False Alarm Error,Chroma Miss Error,Chroma Precision,Chroma Recall,Chroma Substitution Error,Chroma Total Error,False Alarm Error,Miss Error,Precision,Recall,Substitution Error,Total Error,track
0,0.367860914778,0.408895025313,0.0,0.520214448937,0.895127312695,0.429469150993,0.0503164000703,0.570530849007,0.0,0.520214448937,0.829455944312,0.397960977325,0.0818245737388,0.602039022675,PQ02_Elgar
1,0.302079804891,0.369238441262,0.00902102290555,0.501333542516,0.800834363412,0.406573580169,0.0920928773141,0.602447442736,0.00902102290555,0.501333542516,0.688967861557,0.349780357703,0.14888609978,0.659240665202,PQ03_Farranc
2,0.253624351361,0.299794775085,0.0157961489681,0.664821860948,0.887812089356,0.311599215958,0.0235789230947,0.70419693301,0.0157961489681,0.664821860948,0.778745072273,0.27331949729,0.0618586417618,0.742476651678,PS01_Beethoven
3,0.222871195819,0.308767889456,0.0326514555468,0.467741935484,0.653551532033,0.369197482297,0.163060582219,0.663453973249,0.0326514555468,0.467741935484,0.504874651811,0.285208497246,0.24704956727,0.747442958301,PS02_Chopin
4,0.295996652253,0.369545990566,0.31231770249,0.227731658066,0.518618121638,0.562485977115,0.209782364819,0.749831725376,0.31231770249,0.227731658066,0.43897393463,0.476105003365,0.296163338569,0.836212699125,PS03_Mozart
5,0.36115916955,0.470646649921,0.106925418569,0.190943683409,0.669408441343,0.613165905632,0.195890410959,0.493759512938,0.106925418569,0.190943683409,0.555001661682,0.508371385084,0.300684931507,0.598554033486,SQ01_Beethoven
6,0.409627182633,0.5,0.130633572828,0.179621162639,0.683836996337,0.650337470063,0.170041367298,0.480296102765,0.130633572828,0.179621162639,0.596153846154,0.566949706074,0.253429131287,0.563683866754,SQ02_Janacek
7,0.389489489489,0.449712793734,0.341797787817,0.179311419224,0.577057089252,0.670821000156,0.14986758062,0.670976787662,0.341797787817,0.179311419224,0.521441972661,0.606169185231,0.214519395544,0.735628602586,SQ03_Schubert
8,0.243751809322,0.361466145558,0.196122192774,0.398242432696,0.598251748252,0.477332961361,0.124424605942,0.718789231413,0.196122192774,0.398242432696,0.441608391608,0.352350397545,0.249407169759,0.843771795229,VS01_Schumann
9,0.328014485373,0.390567602797,0.00141143260409,0.495669468147,0.836229861728,0.422916533008,0.0814139988452,0.578494899596,0.00141143260409,0.495669468147,0.735379931498,0.371912491179,0.132418040675,0.629498941426,VS04_Franck
