,Accuracy,Chroma Accuracy,Chroma False Alarm Error,Chroma Miss Error,Chroma Precision,Chroma Recall,Chroma Substitution Error,Chroma Total Error,False Alarm Error,Miss Error,Precision,Recall,Substitution Error,Total Error,track
0,0.358636086868,0.390585400307,0.00118650026367,0.530365617859,0.877450065335,0.413121814027,0.0565125681139,0.588064686237,0.00118650026367,0.530365617859,0.82462198992,0.388249252944,0.0813851291967,0.612937247319,PQ02_Elgar
1,0.290387834821,0.338664158043,0.0131000941324,0.561970505177,0.813771517997,0.367116410417,0.0709130844054,0.645983683715,0.0131000941324,0.561970505177,0.723874108851,0.326561029181,0.111468465642,0.686539064951,PQ03_Farranc
2,0.434695912263,0.533492337359,0.076213536262,0.334082785657,0.816670550765,0.606076328837,0.0598408855067,0.470137207425,0.076213536262,0.334082785657,0.711256117455,0.52784503632,0.138072178024,0.548368499942,PS01_Beethoven
3,0.400673873368,0.453949285922,0.236034618411,0.273603461841,0.636623748212,0.612706530291,0.113690007868,0.62332808812,0.236034618411,0.273603461841,0.583282239935,0.561369000787,0.165027537372,0.674665617624,PS02_Chopin
4,0.383746592237,0.439627228525,0.502131478573,0.110612519632,0.524830699774,0.73031186897,0.159075611398,0.771819609603,0.502131478573,0.110612519632,0.476620445018,0.663226385461,0.226161094907,0.838905093112,PS03_Mozart
5,0.316570208462,0.437308305729,0.100684931507,0.317503805175,0.692741230201,0.542541856925,0.1399543379,0.558143074581,0.100684931507,0.317503805175,0.547468661938,0.428767123288,0.253729071537,0.671917808219,SQ01_Beethoven
6,0.38920909382,0.450275781381,0.137818419334,0.248639233616,0.659647404505,0.586544741999,0.164816024385,0.551273677335,0.137818419334,0.248639233616,0.595249755142,0.529283692576,0.222077073808,0.608534726758,SQ02_Janacek
7,0.369428027647,0.423321186882,0.318273874435,0.188502882069,0.560672917816,0.633431998754,0.178065119177,0.684841875682,0.318273874435,0.188502882069,0.508549365692,0.574544321545,0.236952796386,0.74372955289,SQ03_Schubert
8,0.269857433809,0.386115602264,0.248709722416,0.335332682382,0.58353695785,0.532989259311,0.131678058307,0.715720463105,0.248709722416,0.335332682382,0.445174098962,0.406611800809,0.258055516808,0.842097921607,VS01_Schumann
9,0.342244500139,0.406970634596,0.010906524668,0.464746262911,0.818865264889,0.447231667415,0.0880220696734,0.563674857253,0.010906524668,0.464746262911,0.72183719018,0.394238788734,0.141014948354,0.616667735934,VS04_Franck
