,Precision,Recall,Accuracy,Substitution Error,Miss Error,False Alarm Error,Total Error,Chroma Precision,Chroma Recall,Chroma Accuracy,Chroma Substitution Error,Chroma Miss Error,Chroma False Alarm Error,Chroma Total Error
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.839325343621,0.887114285149,0.75847137017,0.052563072639,0.0603226422117,0.11781638049,0.230702095341,0.859902964787,0.908830027597,0.791600895849,0.0308473301916,0.0603226422117,0.11781638049,0.208986352893
std,0.0236125596173,0.0167563610567,0.0264184455069,0.0122149166644,0.0095036347475,0.0231241607664,0.0275441900771,0.0219695515805,0.0105545008453,0.0208577584916,0.0059419022999,0.0095036347475,0.0231241607664,0.0245509472772
min,0.802588751798,0.853464596744,0.715271717572,0.0361527967258,0.0442262504196,0.0787147228834,0.19115608539,0.82582696238,0.892729521715,0.759757801584,0.0211459754434,0.0442262504196,0.0787147228834,0.173204879401
25%,0.821508308596,0.876585959963,0.735451558399,0.0440674941828,0.0543656748417,0.109668467632,0.215444794743,0.854794325412,0.89926008661,0.77593672815,0.0279735145985,0.0543656748417,0.109668467632,0.195742097669
50%,0.844204673091,0.888768044579,0.766557390066,0.0519901521194,0.059772063018,0.117836537062,0.220927969666,0.857290637575,0.913110708217,0.794795764288,0.0320058360008,0.059772063018,0.117836537062,0.206285951053
75%,0.846870496442,0.897946218454,0.777906336147,0.0555831986994,0.0687672415476,0.126266930274,0.256480695482,0.868153198034,0.915579535447,0.804047374009,0.0343753512485,0.0687672415476,0.126266930274,0.222695973744
max,0.873945610365,0.907755380936,0.794734904271,0.0774327906096,0.0716052776251,0.152903658946,0.272917584839,0.894221847322,0.922010004548,0.82372014716,0.0401980530379,0.0716052776251,0.152903658946,0.250550903482
