,Precision,Recall,Accuracy,Substitution Error,Miss Error,False Alarm Error,Total Error,Chroma Precision,Chroma Recall,Chroma Accuracy,Chroma Substitution Error,Chroma Miss Error,Chroma False Alarm Error,Chroma Total Error
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.859268421276,0.612901324117,0.556947872035,0.0553676173349,0.331731058548,0.0451727226158,0.432271398499,0.899535500593,0.641419069685,0.598238930365,0.0268498717665,0.331731058548,0.0451727226158,0.40375365293
std,0.0187845834555,0.0340005987879,0.0305112801823,0.0123009822703,0.0337697375081,0.0101048282296,0.0298302465508,0.016042652947,0.0302895469295,0.0245936660852,0.00763373547568,0.0337697375081,0.0101048282296,0.0264051778977
min,0.82745825603,0.559751594495,0.507648983941,0.0345855281397,0.271373351523,0.0331313896251,0.390173410405,0.869273583559,0.6031473337,0.557588463249,0.0166163141994,0.271373351523,0.0331313896251,0.367902074124
25%,0.846429717724,0.59351482143,0.539399621076,0.0495730816379,0.318939153611,0.0385861906251,0.410126459515,0.892672824226,0.620777156361,0.58124501923,0.0205527263958,0.318939153611,0.0385861906251,0.382568324868
50%,0.859867971364,0.604186736196,0.55200741891,0.0534656605619,0.336598919269,0.0432698411089,0.435506359384,0.899008084833,0.635057409965,0.592672027093,0.0269315207804,0.336598919269,0.0432698411089,0.404166440821
75%,0.866716561425,0.642357759929,0.578715340789,0.0629032971147,0.351495082786,0.0486046728425,0.446116378897,0.911959700542,0.66115758167,0.622608527061,0.0328647550497,0.351495082786,0.0486046728425,0.419772317446
max,0.889649272883,0.659214552873,0.600423375457,0.0760128739114,0.375965088956,0.0679854479309,0.47860020141,0.91926121372,0.692473851751,0.628981641299,0.0379591063991,0.375965088956,0.0679854479309,0.450384826828
