,Precision,Recall,Accuracy,Substitution Error,Miss Error,False Alarm Error,Total Error,Chroma Precision,Chroma Recall,Chroma Accuracy,Chroma Substitution Error,Chroma Miss Error,Chroma False Alarm Error,Chroma Total Error
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.744813471746,0.479916005328,0.406153574121,0.11658256143,0.403501433242,0.0647340161048,0.584818010777,0.801951834529,0.517141024625,0.450804731323,0.079357542133,0.403501433242,0.0647340161048,0.54759299148
std,0.120639259872,0.107379989512,0.0808163430049,0.0493600779169,0.141520795872,0.0645848491815,0.115706229603,0.108232720628,0.106457169627,0.0785090610343,0.0395111173552,0.141520795872,0.0645848491815,0.108336181012
min,0.509222133119,0.354303250105,0.264115628574,0.0266742837054,0.189117199391,0.000527333450519,0.390334855403,0.629510825982,0.398650985818,0.348231118997,0.0148532255229,0.189117199391,0.000527333450519,0.340487062405
25%,0.675156064697,0.381660018575,0.361554162967,0.0941365824654,0.306653889901,0.0138481648955,0.555470681197,0.729682141204,0.419324728413,0.392544809599,0.0572478996249,0.306653889901,0.0138481648955,0.518947712321
50%,0.760016027877,0.473695631619,0.40233767736,0.130264634909,0.40778269904,0.0480542711967,0.599959495948,0.802169309798,0.512713245218,0.444450053611,0.0880863510049,0.40778269904,0.0480542711967,0.564061154129
75%,0.800193321818,0.539949000477,0.427333757952,0.153397109623,0.51913622433,0.114910770527,0.619722857323,0.874945439475,0.581143470855,0.473741729192,0.111223333838,0.51913622433,0.114910770527,0.59550711528
max,0.934937986126,0.647945205479,0.539406994425,0.16682940438,0.582439796098,0.174640814618,0.820337564514,0.963212108472,0.697792998478,0.606054597131,0.128786179044,0.582439796098,0.174640814618,0.736643883387
