,Precision,Recall,Accuracy,Substitution Error,Miss Error,False Alarm Error,Total Error,Chroma Precision,Chroma Recall,Chroma Accuracy,Chroma Substitution Error,Chroma Miss Error,Chroma False Alarm Error,Chroma Total Error,track
0,0.82745825603,0.659163256025,0.579510244878,0.0694633924511,0.271373351523,0.0679854479309,0.408822191905,0.869273583559,0.692473851751,0.627162273476,0.0361527967258,0.271373351523,0.0679854479309,0.37551159618,0_1___A_c_h_G_o_t_t_u_n_d_H_e_r_r
1,0.889649272883,0.648738563904,0.600423375457,0.0345855281397,0.316675907957,0.0458830052675,0.397144441364,0.912840984697,0.665650124757,0.62587161942,0.0176739672858,0.316675907957,0.0458830052675,0.38023288051,0_2___A_c_h_L_i_e_b_e_n_C_h_r_i_s_t_e_n
2,0.867456379062,0.597069193477,0.54715266559,0.050572939621,0.352357866902,0.0406566769502,0.443587483473,0.898511285417,0.618444248568,0.578063851699,0.0291978845306,0.352357866902,0.0406566769502,0.422212428383,0_3___C_h_r_i_s_t_e_d_e_r_d_u_b_i_s_t_T_a_g_u_n_d_L_i_c_h_t
3,0.848585189645,0.581157229247,0.526555009028,0.0501649257834,0.36867784497,0.0535321605278,0.472374931281,0.880694360827,0.6031473337,0.557588463249,0.0281748213304,0.36867784497,0.0535321605278,0.450384826828,0_4___C_h_r_i_s_t_e_D_u_B_e_i_s_t_a_n_d
4,0.864497108516,0.610115236876,0.55686217223,0.0493758002561,0.340508962868,0.0462548015365,0.436139564661,0.898061004649,0.633802816901,0.591265397536,0.0256882202305,0.340508962868,0.0462548015365,0.412451984635,0_5___D_i_e_N_a_c_h_t
5,0.845052578234,0.559751594495,0.507648983941,0.0642833165492,0.375965088956,0.0383517959047,0.47860020141,0.91701507665,0.607418596845,0.57576962851,0.0166163141994,0.375965088956,0.0383517959047,0.43093319906,0_6___D_i_e_S_o_n_n_e
6,0.857973524681,0.592330030748,0.53943683883,0.0587632388111,0.348906730441,0.0392893747865,0.446959344038,0.909315848076,0.62777587974,0.590788521823,0.0233173898189,0.348906730441,0.0392893747865,0.411513495046,0_7___H_e_r_r_G_o_t_t
7,0.861762418046,0.659214552873,0.596171586716,0.0563583815029,0.284427065624,0.0493879632778,0.390173410405,0.890876764085,0.681485889153,0.628981641299,0.0340870452227,0.284427065624,0.0493879632778,0.367902074124,0_8___F_u_e_r_D_e_i_n_e_n_T_h_r_o_n
8,0.845711227084,0.598258235517,0.539387215157,0.0760128739114,0.325728890572,0.0331313896251,0.434873154108,0.89950488425,0.636312003029,0.59407865665,0.0379591063991,0.325728890572,0.0331313896251,0.396819386596,0_9___J_e_s_u_s
9,0.884538258575,0.623215348007,0.576330628524,0.0440957763236,0.332688875669,0.037254610351,0.414039262344,0.91926121372,0.647679952409,0.612819249982,0.0196311719215,0.332688875669,0.037254610351,0.389574657942,1_0___N_u_n_B_i_t_t_e_n
