,Accuracy,Chroma Accuracy,Chroma False Alarm Error,Chroma Miss Error,Chroma Precision,Chroma Recall,Chroma Substitution Error,Chroma Total Error,False Alarm Error,Miss Error,Precision,Recall,Substitution Error,Total Error,track
0,0.70127812401,0.756571054641,0.0156889495225,0.18462937699,0.948974008208,0.788653933606,0.0267166894043,0.227035015916,0.0156889495225,0.18462937699,0.908207934337,0.754774897681,0.0605957253297,0.260914051842,01_AchGottundHerr
1,0.690314660464,0.739775221121,0.0162184640976,0.203008039922,0.948095116339,0.771000831716,0.0259911283615,0.245217632381,0.0162184640976,0.203008039922,0.910594050967,0.740504574439,0.056487385639,0.275713889659,02_AchLiebenChristen
2,0.666057653268,0.72979239119,0.00947553988541,0.200969590128,0.943717634233,0.763001322168,0.0360290877038,0.246474217717,0.00947553988541,0.200969590128,0.8942491142,0.723005729396,0.076024680476,0.286469810489,03_ChristederdubistTagundLicht
3,0.68469051161,0.724510063559,0.0114760857614,0.221550302364,0.951979121357,0.751992853216,0.02645684442,0.259483232545,0.0114760857614,0.221550302364,0.920922140061,0.727460142936,0.0509895547004,0.284015942826,04_ChristeDuBeistand
4,0.664498003844,0.739876352396,0.00752240717029,0.205825864277,0.955679776402,0.766165172855,0.0280089628681,0.241357234315,0.00752240717029,0.205825864277,0.89718506688,0.719270166453,0.0749039692702,0.288252240717,05_DieNacht
5,0.688491128906,0.735495844428,0.00847599865727,0.203507888553,0.950271059216,0.764937898624,0.0315542128231,0.243538100034,0.00847599865727,0.203507888553,0.914303586322,0.735985229943,0.0605068815039,0.272490768714,06_DieSonne
6,0.688850063532,0.750432134332,0.00700375811411,0.190638879399,0.953860640301,0.778698325931,0.0306627946703,0.228305432183,0.00700375811411,0.190638879399,0.907512031806,0.740860949778,0.0685001708234,0.266142808336,07_HerrGott
7,0.716950082282,0.799737144735,0.00603536212173,0.143573614417,0.959589986201,0.827609656579,0.0288167290037,0.178425705542,0.00603536212173,0.143573614417,0.901734673763,0.7777116627,0.0787147228834,0.228323699422,08_FuerDeinenThron
8,0.621099167822,0.699936369421,0.00549034456645,0.235232866339,0.946294703208,0.728890571753,0.0358765619084,0.276599772813,0.00549034456645,0.235232866339,0.880545655647,0.678246876183,0.0865202574782,0.327243468383,09_Jesus
9,0.694284143996,0.738964885066,0.00996430696014,0.176085663296,0.934546103085,0.779298036883,0.0446162998215,0.230666270077,0.00996430696014,0.176085663296,0.901194934903,0.751487209994,0.0724271267103,0.258477096966,10_NunBitten
