,Accuracy,Chroma Accuracy,Chroma False Alarm Error,Chroma Miss Error,Chroma Precision,Chroma Recall,Chroma Substitution Error,Chroma Total Error,False Alarm Error,Miss Error,Precision,Recall,Substitution Error,Total Error
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.355544956343,0.426030992101,0.16450597,0.336535975632,0.698481035734,0.547207247695,0.116256776673,0.617298722306,0.16450597,0.336535975632,0.613793397309,0.480069643164,0.183394381204,0.684436326836
std,0.0513334732266,0.0517262553133,0.161799894986,0.145235352277,0.125391790815,0.111003413426,0.0452438765978,0.0895855630453,0.161799894986,0.145235352277,0.12549363075,0.106027654072,0.0636673511181,0.0980194272951
min,0.269857433809,0.338664158043,0.00118650026367,0.110612519632,0.524830699774,0.367116410417,0.0565125681139,0.470137207425,0.00118650026367,0.110612519632,0.445174098962,0.326561029181,0.0813851291967,0.548368499942
25%,0.322988781381,0.39468170888,0.0288784546648,0.254880290673,0.59680865544,0.468671065389,0.0751903307224,0.559526020249,0.0288784546648,0.254880290673,0.518279189754,0.397332041753,0.138807870606,0.613869869473
50%,0.364032057258,0.430314746306,0.11925167542,0.325793295416,0.676194317353,0.564543299462,0.122684033087,0.605696387178,0.11925167542,0.325793295416,0.589265997538,0.478306079804,0.19355230559,0.673291712922
75%,0.387843468424,0.447613643167,0.245540946415,0.432392867779,0.815945792573,0.611048979927,0.154295293023,0.67512732769,0.245540946415,0.432392867779,0.719191921999,0.553347673734,0.234254871016,0.729431930905
max,0.434695912263,0.533492337359,0.502131478573,0.561970505177,0.877450065335,0.73031186897,0.178065119177,0.771819609603,0.502131478573,0.561970505177,0.82462198992,0.663226385461,0.258055516808,0.842097921607
