,Accuracy,Chroma Accuracy,Chroma False Alarm Error,Chroma Miss Error,Chroma Precision,Chroma Recall,Chroma Substitution Error,Chroma Total Error,False Alarm Error,Miss Error,Precision,Recall,Substitution Error,Total Error
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.681651353973,0.741509146089,0.00973512168569,0.196502208568,0.949300814855,0.772024860333,0.0314729310985,0.237710261352,0.00973512168569,0.196502208568,0.903644918889,0.73493074395,0.0685670474814,0.274804377735
std,0.0261993621104,0.0256034570558,0.00374582517485,0.0252088574819,0.00695170282384,0.0255875661895,0.0058731895915,0.0256765697133,0.00374582517485,0.0252088574819,0.0113988982208,0.0262927773914,0.0111523059507,0.0255012330635
min,0.621099167822,0.699936369421,0.00549034456645,0.143573614417,0.934546103085,0.728890571753,0.0259911283615,0.178425705542,0.00549034456645,0.143573614417,0.880545655647,0.678246876183,0.0509895547004,0.228323699422
25%,0.670715867854,0.731218254499,0.00713342037816,0.186131752592,0.94674480649,0.763485466282,0.0270397577702,0.228895641657,0.00713342037816,0.186131752592,0.898187533885,0.724119332781,0.0605290924603,0.262221240965
50%,0.688670596219,0.739370053093,0.00897576927134,0.201988815025,0.949622533712,0.768583002286,0.029739761837,0.242447667174,0.00897576927134,0.201988815025,0.904623352784,0.738244902191,0.0704636487668,0.274102329187
75%,0.693291773113,0.747793188848,0.0110981410611,0.205246370346,0.953390260565,0.779148109145,0.034795974637,0.246160071383,0.0110981410611,0.205246370346,0.90999752181,0.74883064494,0.0757445026745,0.285856343573
max,0.716950082282,0.799737144735,0.0162184640976,0.235232866339,0.959589986201,0.827609656579,0.0446162998215,0.276599772813,0.0162184640976,0.235232866339,0.920922140061,0.7777116627,0.0865202574782,0.327243468383
