,Overall Accuracy,Raw Chroma Accuracy,Raw Pitch Accuracy,Voicing False Alarm,Voicing Recall
0,0.557391481005,0.651386440135,0.583961104878,0.108902653231,0.402094352727
1,0.558906481249,0.765087571218,0.672029964127,0.280628893503,0.481852711543
2,0.763654543182,0.586138175376,0.464791851196,0.0226362528295,0.366548568054
3,0.477377004497,0.643574297189,0.602800089246,0.235006119951,0.538766175814
4,0.544068815028,0.738995361862,0.657893585368,0.132143264515,0.487945217467
5,0.605781790242,0.773325861586,0.7057376794,0.110186067506,0.462158712369
6,0.720563029138,0.896966699637,0.861729310913,0.347142255301,0.796735905045
7,0.719733224723,0.779047250194,0.744481022463,0.0935151385012,0.590530596437
8,0.295743899847,0.534535424455,0.407495212911,0.0235651843406,0.254946658156
9,0.507617498934,0.663985073542,0.554144757566,0.20093330917,0.488429571834
10,0.490922549478,0.546800410901,0.523264245574,0.0676060971598,0.309777025802
11,0.665372535334,0.744229782869,0.61215592409,0.0939782647426,0.556077962045
12,0.583488839446,0.756112514408,0.725556073277,0.226345703778,0.600951516786
13,0.712125050669,0.881006046295,0.83327966799,0.222463327836,0.739186433401
14,0.567677824268,0.693458345262,0.662610936158,0.291181041181,0.6339106785
15,0.905112286349,0.990066225166,0.989609499886,0.215667987876,0.968600137018
16,0.315241564417,0.476139233557,0.428154167124,0.456301886792,0.596354452619
17,0.683203631647,0.903934593766,0.81067961165,0.225122349103,0.71418838358
18,0.708255582009,0.816124270753,0.78779784916,0.435312024353,0.875940113868
19,0.658841797589,0.852748012444,0.80180608365,0.486494845361,0.847779122019
20,0.467093266138,0.681401886108,0.524211099021,0.260950030845,0.504851287631
21,0.750762970498,0.877325651182,0.852568719241,0.518178785857,0.896080902653
22,0.723161620134,0.874879206756,0.856812738961,0.587043931497,0.925927482039
23,0.692605967322,0.877319311407,0.832607676335,0.399643402955,0.77289168732
24,0.659116295252,0.699702541915,0.696187128177,0.270750144403,0.550365062196
25,0.608926425424,0.693775978998,0.630496609057,0.244259766964,0.578046379348
26,0.7787378895,0.868586387435,0.853851907255,0.169209818779,0.719222139117
