,Overall Accuracy,Raw Chroma Accuracy,Raw Pitch Accuracy,Voicing False Alarm,Voicing Recall
0,0.519502945757,0.724154511941,0.397232462467,0.213552741056,0.852006197574
1,0.411381977605,0.579869170711,0.367429837518,0.468703648769,0.714866005486
2,0.50164562763,0.477339828757,0.396885149099,0.441581055198,0.708074992619
3,0.289283605142,0.439452253458,0.260291164659,0.29241126071,0.534136546185
4,0.372726985231,0.42747440273,0.318193751641,0.331869510665,0.57215367113
5,0.522819823281,0.6694063074,0.529528968588,0.371733788054,0.727841598954
6,0.471666753233,0.501854599407,0.353033300363,0.280157281281,0.742952522255
7,0.591233071989,0.60844306739,0.448973663826,0.167704530814,0.563323005422
8,0.274357141477,0.467994893772,0.217721345856,0.0710756366401,0.529474788
9,0.524762791873,0.659308439749,0.466306428554,0.163827473722,0.667813613124
10,0.300393486053,0.318569097831,0.18804761617,0.385129948459,0.512598948577
11,0.726705636015,0.817233715165,0.758163788682,0.231783360057,0.769105830056
12,0.448449723678,0.593251097432,0.411285773843,0.242126379137,0.567795571033
13,0.517227401702,0.577904189474,0.446495653107,0.204756531551,0.726056312833
14,0.490794979079,0.531706269682,0.433724592041,0.216394716395,0.550100200401
15,0.782555376715,0.808860470427,0.793902717515,0.226626253206,0.955697647865
16,0.323255368098,0.426814538267,0.371318765785,0.197735849057,0.569825409026
17,0.504215304799,0.739993186851,0.52827456992,0.176998368679,0.558507920286
18,0.463354996461,0.63305686371,0.554017009911,0.168949771689,0.553489843256
19,0.591614906832,0.779986173522,0.707181126858,0.295670103093,0.643363290702
20,0.319319651205,0.557263329706,0.336235038085,0.539543491672,0.607136380123
21,0.50516276704,0.72041171528,0.629126155323,0.165110073382,0.530218461169
22,0.604797483287,0.76093441452,0.678248813075,0.223976172748,0.655308600479
23,0.481796116505,0.655971598901,0.574619867372,0.261334691798,0.56118963092
24,0.559905513541,0.73566792861,0.725797728502,0.479268690826,0.801784748513
25,0.347709974629,0.364581054474,0.235561146357,0.428803975326,0.717731349814
26,0.69880263753,0.792894540015,0.724607329843,0.292817486644,0.840613313388
