,Overall Accuracy,Raw Chroma Accuracy,Raw Pitch Accuracy,Voicing False Alarm,Voicing Recall
0,0.367777646223,0.64686181258,0.609819813785,0.632959755476,0.609082992833
1,0.369341701162,0.46461387005,0.448042003938,0.375,0.441916429665
2,0.413956887103,0.645696508814,0.617481852748,0.572577319588,0.650708606982
3,0.422191372655,0.668376342363,0.620078003954,0.416936303966,0.48143399049
4,0.356129196338,0.565868443164,0.547413275717,0.531687791861,0.623394550474
5,0.424591252649,0.720683468977,0.688500918876,0.50792745523,0.568149995624
6,0.508563032023,0.773854244929,0.749239740975,0.684923183751,0.785088190047
7,0.513435700576,0.802145665926,0.789664899983,0.181631925886,0.285347922722
8,0.435759962023,0.673085039038,0.645020046423,0.378760011866,0.458693817261
9,0.452703390693,0.742350890782,0.712819519752,0.427957912819,0.505712625871
10,0.645822270239,0.603975121687,0.577474310438,0.193274567418,0.351608977826
11,0.284414225941,0.435299169768,0.372745490982,0.392385392385,0.412467792728
12,0.202947043305,0.434350179237,0.414669290785,0.37595129376,0.394882969003
13,0.191437568826,0.476588857482,0.320575362451,0.160141897884,0.213276192213
14,0.467667376513,0.733555885262,0.712372238708,0.66058137902,0.759149357072
15,0.504706108337,0.800909062607,0.75380592136,0.343949044586,0.496124031008
16,0.337808041505,0.617186169307,0.501021972407,0.518760195759,0.522568557316
17,0.473702664797,0.647622212823,0.641670191552,0.173483934642,0.402048462143
18,0.622838811815,0.408547387068,0.322556834957,0.157118811307,0.207632122823
19,0.177760736196,0.33510486439,0.236455473811,0.477283018868,0.435423300758
20,0.27492845137,0.490880187416,0.480533244087,0.313096695226,0.373605533244
21,0.522221428741,0.349214659686,0.261705310396,0.277768078494,0.363575168287
22,0.276648652233,0.546608632572,0.446635836054,0.384083898828,0.39086869786
23,0.554840193148,0.83854761361,0.835464717972,0.617393331779,0.78488239324
24,0.427937670703,0.676415711551,0.632266350045,0.716428053643,0.769221449514
25,0.377556879351,0.567550334748,0.540917674179,0.498963557339,0.602619123526
26,0.461528378556,0.676652241502,0.659384059493,0.837825763217,0.824923322549
