,Overall Accuracy,Raw Chroma Accuracy,Raw Pitch Accuracy,Voicing False Alarm,Voicing Recall
0,0.682806257195,0.717850082812,0.677993268152,0.219007118425,0.740877277341
1,0.593337242747,0.773475416755,0.749208693817,0.450192821121,0.724045157206
2,0.514185726784,0.438441098317,0.303734868615,0.370160775437,0.553956303513
3,0.400127197565,0.546575189647,0.495342481035,0.225091799266,0.450803212851
4,0.451345624743,0.625601645226,0.446420757854,0.236283791491,0.486785683031
5,0.583422973492,0.741321876654,0.65446281249,0.2817092131,0.711403754553
6,0.745831818418,0.86082261787,0.822947576657,0.301081308805,0.82941806792
7,0.691782914164,0.758617350891,0.712335398916,0.216233626798,0.696940356313
8,0.475782925369,0.660777787909,0.587284581016,0.10198910427,0.598773593508
9,0.559132315562,0.646417407739,0.565896920206,0.253851032983,0.639802272892
10,0.452918030232,0.522478699619,0.459786089794,0.417260664547,0.63082361472
11,0.574594311638,0.634210976235,0.443280902718,0.161277391769,0.609292186699
12,0.47678174119,0.618951860117,0.525345170071,0.191641591441,0.482477867425
13,0.763807255776,0.847661979893,0.818181818182,0.245204409339,0.83388787521
14,0.519456066946,0.700758660177,0.643358144861,0.209984459984,0.484111079301
15,0.923737257607,0.970084494177,0.969399406257,0.116577290744,0.94576387303
16,0.333819018405,0.446711320962,0.406764027671,0.203320754717,0.52831887559
17,0.559792477302,0.831204224153,0.717680122637,0.135943447526,0.551524442173
18,0.454861334534,0.642581007943,0.594679131229,0.137366818874,0.481830322626
19,0.587443673121,0.778646733495,0.714742481853,0.23824742268,0.594106463878
20,0.414807201353,0.57725788901,0.468715995647,0.37557063541,0.498277112804
21,0.531714140387,0.737186412195,0.686442203817,0.151434289526,0.51518425159
22,0.598898938262,0.766060249569,0.733498592496,0.225763216679,0.606613167514
23,0.540018943879,0.748945006363,0.709290642374,0.19969434539,0.554122848148
24,0.531614509897,0.587885343429,0.558883180097,0.459127552174,0.664886425095
25,0.597309387101,0.668453292496,0.615893677532,0.322652501714,0.659264931087
26,0.71277583375,0.816679132386,0.744203440539,0.267607109187,0.762453253553
